ap_topic,doc_anchor,exercise,items
Precalc.Functions,docs/3-函数与关系/3.1-函数概念与表示.md#函数的定义,exercises/basic/function-trigonometry-basic-exercises.md,1-5
Precalc.Functions-Operations,docs/3-函数与关系/3.1-函数概念与表示.md#函数的运算与复合,exercises/basic/function-trigonometry-basic-exercises.md,6-12
Precalc.Inverse,docs/3-函数与关系/3.1-函数概念与表示.md#反函数,exercises/basic/function-trigonometry-basic-exercises.md,13-18
Precalc.Trig-Graphs,docs/5-三角学/5.1-三角函数基础.md#三角函数的定义与图像,exercises/basic/function-trigonometry-basic-exercises.md,19-28
Precalc.Trig-Identities,docs/5-三角学/5.1-三角函数基础.md#三角恒等变换,exercises/basic/function-trigonometry-basic-exercises.md,29-34
Precalc.Exp-Log,docs/9-数学建模/9.1-数学建模基础.md#指数建模,,模型
AB.Limits,docs/6-微积分与分析/6.1-极限与连续.md#极限的定义与性质,exercises/basic/calculus-basic-exercises.md,1-4
AB.Continuity,docs/6-微积分与分析/6.1-极限与连续.md#连续与间断,exercises/basic/calculus-basic-exercises.md,5-8
AB.Derivative,docs/6-微积分与分析/6.2-导数与微分.md#导数定义,exercises/basic/calculus-basic-exercises.md,9-12
AB.Applications,docs/6-微积分与分析/6.2-导数与微分.md#导数应用,exercises/basic/calculus-basic-exercises.md,13-18
AB.Integral,docs/6-微积分与分析/6.3-积分与应用.md#不定积分,exercises/basic/calculus-basic-exercises.md,19-22
AB.DefiniteIntegral-FTC,docs/6-微积分与分析/6.3-积分与应用.md#定积分与面积体积,exercises/basic/calculus-basic-exercises.md,23-25
BC.Parametric,docs/4-几何与空间/4.2-解析几何基础.md#参数方程,,
BC.Polar,docs/4-几何与空间/4.2-解析几何基础.md#极坐标,,
Stats.Probability,docs/7-概率与统计/7.1-概率论基础.md#条件概率与独立性,exercises/basic/probability-statistics-basic-exercises.md,条件概率
Stats.Distributions,docs/7-概率与统计/7.2-随机变量与分布.md#常见分布,exercises/basic/probability-statistics-basic-exercises.md,分布
Stats.Inference,docs/7-概率与统计/,,后续 